Category,Technology,DeveloperExperienceRequired,ComplexityOfProject,ProjectScale,PerformanceOfTechnology,CommunitySupport,Scalability,SecurityFeatures,Cost,IntegrationCapabilities,DocumentationQuality,LearningCurve,CommunityAdoption,PerformanceScaling,VendorLockIn,EcosystemSupport,LongTermSupport
Database,MySQL,0.75,0.75,0.39,0.99,1.01,0.88,0.75,0.91,0.43,0.99,1.01,0.75,1.01,0.47,0.28,0.99
Database,PostgreSQL,0.77,1.03,0.4,1,1.02,0.89,0.77,0.93,0.44,1,1.02,0.77,1.02,0.48,0.29,1
Database,MongoDB,0.79,0.8,0.41,0.45,1.03,0.9,0.79,0.95,0.46,1,1.02,0.79,1.03,0.49,0.3,1
Database,SQLite,0.21,0.23,0.42,0.5,1.04,0.67,0.38,0.5,0.47,1,1.02,0.21,1.03,0.67,0.31,1
Database,Redis,0.81,0.82,0.43,1.02,1.05,0.91,0.81,0.96,0.48,1,1.02,0.81,1.05,0.5,0.32,1
Cybersecurity,OpenSSL,0.83,0.84,0.66,1.04,1.06,0.92,0.83,0.98,0.49,1,1.02,0.83,1.06,0.51,0.33,1
Cybersecurity,OWASP Top 10,0.85,1.06,0.67,1.06,1.07,0.93,0.85,1,0.5,1,1.02,0.85,1.07,0.52,0.34,1
Cybersecurity,Nmap,0.87,1.08,0.67,1.08,1.08,0.94,0.87,1.02,0.51,1,1.02,0.87,1.08,0.53,0.35,1
Cybersecurity,Snort,0.89,1.1,0.68,1.1,1.09,0.95,0.89,1.04,0.52,1,1.02,0.89,1.1,0.54,0.36,1
Cybersecurity,Wireshark,0.91,1.12,0.68,1.12,1.1,0.96,0.91,1.06,0.53,1,1.02,0.91,1.12,0.55,0.37,1
Cloud Computing,AWS Lambda,0.82,0.85,0.69,1.03,1.04,0.97,0.82,1.05,0.54,1,1.02,0.82,1.04,0.56,0.38,1
Cloud Computing,Azure Functions,0.84,1.07,0.7,1.05,1.05,0.98,0.84,1.08,0.55,1,1.02,0.84,1.05,0.57,0.39,1
Cloud Computing,Google Cloud Functions,0.86,1.09,0.7,1.07,1.06,0.99,0.86,1.1,0.56,1,1.02,0.86,1.06,0.58,0.4,1
Cloud Computing,IBM Cloud Functions,0.88,1.11,0.71,1.09,1.07,1,0.88,1.12,0.57,1,1.02,0.88,1.07,0.59,0.41,1
IoT,Arduino,0.75,0.77,0.44,0.79,0.8,0.91,0.75,0.94,0.49,0.82,0.83,0.75,0.8,0.46,0.28,0.82
IoT,Raspberry Pi,0.77,0.79,0.45,0.81,0.82,0.92,0.77,0.96,0.5,0.84,0.85,0.77,0.82,0.47,0.29,0.84
Database,SQL Server,0.73,0.78,0.46,1.01,1.04,0.87,0.73,0.98,0.51,0.99,1.01,0.73,1.04,0.52,0.33,0.99
Database,Oracle,0.79,0.81,0.47,1.02,1.05,0.9,0.79,1,0.54,1,1.02,0.79,1.05,0.55,0.34,1
Database,Cassandra,0.83,0.85,0.48,1.03,1.06,0.92,0.83,1.02,0.57,1,1.02,0.83,1.06,0.58,0.35,1
Database,DynamoDB,0.86,0.88,0.49,1.04,1.07,0.94,0.86,1.04,0.6,1,1.02,0.86,1.07,0.59,0.36,1
Cybersecurity,HashiCorp Vault,0.87,1.09,0.7,1.05,1.07,0.95,0.87,1.05,0.58,1,1.02,0.87,1.07,0.6,0.37,1
Cybersecurity,Keycloak,0.89,1.11,0.71,1.06,1.08,0.96,0.89,1.07,0.59,1,1.02,0.89,1.08,0.61,0.38,1
Cybersecurity,Auth0,0.92,1.13,0.72,1.07,1.09,0.97,0.92,1.1,0.6,1,1.02,0.92,1.09,0.62,0.39,1
Cloud Computing,Heroku,0.83,0.86,0.7,0.98,1.01,0.93,0.83,1.02,0.57,1,1.02,0.83,1.01,0.58,0.34,1
Cloud Computing,DigitalOcean,0.85,1.08,0.71,0.99,1.02,0.94,0.85,1.04,0.58,1,1.02,0.85,1.02,0.59,0.35,1
Cloud Computing,Linode,0.88,1.1,0.72,1,1.03,0.96,0.88,1.06,0.59,1,1.02,0.88,1.03,0.6,0.36,1
Cloud Computing,Vultr,0.9,1.12,0.73,1.01,1.04,0.97,0.9,1.08,0.6,1,1.02,0.9,1.04,0.61,0.37,1
IoT,ESP32,0.78,0.8,0.48,0.83,0.84,0.93,0.78,0.98,0.52,0.86,0.87,0.78,0.84,0.49,0.3,0.86
IoT,Particle Photon,0.79,0.81,0.49,0.85,0.86,0.94,0.79,1,0.53,0.88,0.89,0.79,0.86,0.5,0.31,0.88
